Site,Acanthistius ocellatus,Acanthopagrus australis,Achoerodus viridis,Anampses caeruleopunctatus,Anampses neoguinaicus,Apogon limenus,Atractoscion atelodus,Atypichthys strigatus,Austrolabrus maculatus,Bodianus frenchii,Bodianus perditio,Brachaelurus waddi,Canthigaster callisterna,Caranx melampygus,Caranx sexfasciatus,Carcharias taurus,Centropogon australis,Chaetodon flavirostris,Chaetodon guentheri,Chelmonops truncatus,Choerodon venustus,Chrysophrys auratus,Chromis hypsilepis,Chromis weberi,Cirrhilabrus punctatus,Cirrhitichthys aprinus,Coris aygula,Coris dorsomacula,Coris picta,Dasyatis brevicaudata,Dasyatis thetidis,Dicotylichthys punctulatus,Dinolestes lewini,Echeneis naucrates,Enoplosus armatus,Epinephelus cyanopodus,Epinephelus daemelii,Epinephelus fasciatus,Epinephelus undulatostriatus,Eubalichthys mosaicus,Eupetrichthys angustipes,Girella elevata,Glaucosoma scapulare,Gnathanodon speciosus,Goniistius vestitus,Gymnothorax prasinus,Gymnothorax prionodon,Gymnothorax thyrsoidea,Halichoeres nebulosus,Heniochus acuminatus,Hypoplectrodes maccullochi,Kyphosus sydneyanus,Labroides dimidiatus,Lutjanus adetii,Lutjanus fulviflamma,Lutjanus russellii,Mecaenichthys immaculatus,Meuschenia freycineti,Meuschenia scaber,Meuschenia trachylepis,Microcanthus strigatus,Morwong fuscus,Myliobatis australis,Nelusetta ayraud,Nemadactylus douglasii,Notolabrus gymnogenis,Ophthalmolepis lineolata,Orectolobus halei,Orectolobus maculatus,Paracaesio xanthura,Parapercis ramsayi,Parapercis stricticeps,Paraplesiops bleekeri,Parma unifasciata,Parupeneus multifasciatus,Parupeneus spilurus,Pempheris affinis,Pempheris compressa,Plagiotremus tapeinosoma,Pomacentrus coelestis,Prionurus maculatus,Prionurus microlepidotus,Pseudocaranx dentex,Pseudolabrus guentheri,Pseudolabrus luculentus,Pterocaesio digramma,Rachycentron canadum,Rhabdosargus sarba,Sarda australis,Schuettea scalaripinnis,Scorpaena cardinalis,Scorpis lineolata,Seriola dumerili,Seriola hippos,Seriola lalandi,Seriolina nigrofasciata,Seriola rivoliana,Siganus fuscescens,Synodus jaculum,Thalassoma lunare,Thalassoma lutescens,Trachinops taeniatus,Trachurus novaezelandiae,Trachypoma macracanthus,Upeneichthys lineatus,Zanclus cornutus
Bullocky1_2015,0,1,1,0,0,0,0,52,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,11,0,0,1,2,0,0,0,0,0,0,0,1,0,0,11,0,0,0
Bullocky1_2018,1,6,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,6,0,4,0,0,0,0,0,1,2,0,1,0,0,16,0,0,3,0,0,0,1,0,0,3,0,3,2,0,2,0,0,0
Bullocky2_2002,1,3,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,4,0,0,0,15,0,1,0,0,0,3,0,20,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Bullocky2_2003,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2004,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2005,1,4,1,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Bullocky2_2006,0,2,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,1,0,0,0,6,0,130,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bullocky2_2007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2010,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2011,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2013,2,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2014,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky2_2015,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bullocky3_2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky3_2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky3_2004,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky3_2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullocky3_2006,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Bullocky3_2007,1,1,1,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,8,0,0,0,0,6,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
