"Species","sstmean","MaxSizeTL","Diet","Position","Method","Kmax","Kmax_lowq","Kmax_uppq"
"Parma oligolepis",22.8,16.5,"HerMac","BnthDw","Otolth",0.471034660935402,0.434477582573891,0.511608302593231
"Parma unifasciata",22.8,18,"HerMac","BnthDw","Otolth",0.378393113613129,0.347933948040009,0.417286902666092
"Parupeneus multifasciatus",22.8,35,"InvMob","BnthDw","Otolth",0.140884570777416,0.122124971821904,0.160078380256891
"Parupeneus spilurus",22.8,50,"InvMob","BnthDw","Otolth",0.144643165171146,0.131673935800791,0.158109903335571
"Pempheris affinis",22.8,15,"Plktiv","BtPlDw","Otolth",0.59809210896492,0.538170844316483,0.669975757598877
"Pempheris compressa",22.8,20,"Plktiv","BtPlDw","Otolth",0.33499650657177,0.306315712630749,0.365104675292969
"Pictilabrus laticlavius",22.8,23,"InvMob","BtPlDw","Otolth",0.255015507340431,0.2256427295506,0.284754551947117
"Plagiotremus tapeinosoma",22.8,14,"FisCep","BnthAs","Otolth",0.34399576485157,0.301558971405029,0.394126571714878
"Platax teira",22.8,70,"HerMac","BnthDw","Otolth",0.0827919691801071,0.0741105228662491,0.0923634804785252
"Plectorhinchus flavomaculatus",22.8,60,"FisCep","BtPlDw","Otolth",0.118335910141468,0.108465194702148,0.130991093814373
"Pomacentrus coelestis",22.8,9,"Plktiv","BnthDw","Otolth",0.345393493771553,0.29567626863718,0.404339678585529
"Prionurus maculatus",22.8,45,"HerDet","BtPlDw","Otolth",0.16004753112793,0.143043033778667,0.179048284888268
"Prionurus microlepidotus",22.8,70,"HerDet","BtPlDw","Otolth",0.127124153077602,0.109892599284649,0.147854045033455
"Pseudocaranx dentex",22.8,122,"FisCep","BtPlAs","Otolth",0.0593289136886597,0.0516109671443701,0.0657547749578953
"Pseudolabrus guentheri",22.8,18,"InvMob","BtPlDw","Otolth",0.472974002361298,0.425661914050579,0.531445801258087
"Pseudolabrus luculentus",22.8,17,"InvMob","BtPlDw","Otolth",0.599164664745331,0.535169675946236,0.663879588246346
"Pterocaesio digramma",22.8,30,"Plktiv","PelgDw","Otolth",0.268453970551491,0.243528638035059,0.295522443950176
"Rachycentron canadum",22.8,200,"FisCep","PelgAs","Otolth",0.069777213037014,0.0621421346440911,0.0774049926549196
"Rhabdosargus sarba",22.8,80,"InvMob","BnthAs","Otolth",0.114850375801325,0.0994525235146284,0.134798016399145
"Sarda australis",22.8,180,"FisCep","PelgAs","Otolth",0.039853548631072,0.0346217090263963,0.0456676501780748
