"Code","A_australis","A_bengalensis","A_caeruleopunctatus","A_chinensis","A_dussumeri","A_limenus","A_lophodon","A_maculatus","A_monoceros","A_narinari","A_ocellatus","A_strigatus","A_viridis","B_frenchii","B_perditio","B_waddi","C_auratus","C_australis","C_callisterna","C_dorsomacula","C_flavirostris","C_guentheri","C_hypsilepis","C_picta","C_taurus","C_tibicen","C_truncatus","C_venustus","D_brevicaudata","D_lewini","E_angustipes","E_armatus","E_daemelii","E_fasciatus","E_mosaicus","E_naucrates","E_undulatostriatus","G_prasinus","G_prionodon","G_scapulare","G_thyrsoidea","G_vestitus","H_acuminatus","H_galeatus","H_maccullochi","K_sydneyanus","L_adetii","L_dimidiatus","L_fulviflamma","L_nebulosus","L_rhacina","L_russelli","M_australis","M_flavolineata","M_freycineti","M_fuscus","M_immaculatus","M_trachylepis","M_vanicolensis","N_ayraudi","N_douglasii","N_gymnogenis","O_halei","O_lineolata","O_maculatus","P_affinis","P_compressa","P_dentex","P_digramma","P_flavomaculatus","P_guentheri","P_laticlavius","P_luculentus","P_maculatus","P_microlepidotus","P_multifasciatus","P_ramsayi","P_spilurus","P_striticeps","P_teira","P_unifasciata","P_xanthura","R_sarba","S_australis","S_cardinalis","S_chrysopterus","S_dumerili","S_fuscensens","S_hippos","S_interrupta","S_jaculum","S_lalandi","S_lineolata","S_rivoliana","S_scalaripinnis","T_fasciata","T_lunare","T_lutescens","T_novaezelandiae","T_taeniatus","U_lineatus"
"SplitBommieN_2005",2,0,0,0,0,0,0,1,0,0,1,174,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,125,0,0,0,1,0,70,15,0
"SplitBommieN_2006",0,1,0,0,0,0,0,1,0,0,0,143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
"SplitBommieN_2007",1,0,0,1,0,0,0,0,0,0,1,80,0,0,1,1,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,14,0,5,0,0,0,0,0,0,0,97,0,0,0,3,4,0,15,0
"SplitBommieN_2008",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,9,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,11,0,0,0,0,0,1,0,43,0,0,0,2,3,0,20,0
"SplitBommieN_2009",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,2,9,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,9,0,11,0,11,0,0,0,0,0,0,0,40,0,0,0,2,0,1,0,0
"SplitBommieN_2010",5,0,0,0,0,0,0,0,0,0,1,160,1,0,0,1,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0,0,0,8,0,0,0,0,0,0,8,0,1,3,0,0,5,0,5,0,9,0,0,0,0,0,0,1,135,0,0,0,2,1,0,36,0
"SplitBommieN_2011",8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,160,0,0,1,0,0,6,0,7,0,8,0,0,0,0,0,0,0,218,0,0,0,3,2,0,4,0
"SplitBommieN_2013",5,0,0,0,0,0,0,2,0,0,1,60,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,8,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,3,0,2,0,3,0,0,0,0,0,0,0,13,0,0,0,1,1,0,5,0
"SplitBommieN_2014",2,0,0,0,0,0,0,1,0,0,2,90,0,0,0,2,13,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,5,1,0,0,0,0,0,2,0,0,0,2,0,0,10,0,0,5,0,1,0,3,0,0,2,9,0,0,0,116,0,0,0,0,0,0,0,0
"SplitBommieN_2015",1,0,0,0,0,0,0,0,0,0,1,170,0,0,0,0,9,0,0,0,0,3,0,5,0,0,0,1,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,4,1,4,0,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,5,0,3,0,2,0,0,0,0,0,0,0,172,0,0,0,1,0,0,0,0
